Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_GW,Vph1_Num_wells_GW,Vph1_penetrance_GW,Vph1_class E_GW,Vph1_class G_GW,Vph1_enlarged_GW,Vph1_fragmented_GW,Vph1_multilobed_GW,Vph1_V-ATPase defect_GW,Vph1_WT_GW,Vph1_none_GW,Snf7_Num_cells_GW,Snf7_Num_wells_GW,Snf7_penetrance_GW,Snf7_condensed_GW,Snf7_fragmented_GW,Snf7_membrane_GW,Snf7_WT_GW,Snf7_none_GW,Sla1_Num_cells_GW,Sla1_Num_wells_GW,Sla1_penetrance_GW,Sla1_aggregate_GW,Sla1_decreased patch number_GW,Sla1_depolarized patches_GW,Sla1_increased patch number_GW,Sla1_WT_GW,Sla1_none_GW,Sac6_Num_cells_GW,Sac6_Num_wells_GW,Sac6_penetrance_GW,Sac6_aggregate_GW,Sac6_bright patches_GW,Sac6_decreased patch number_GW,Sac6_depolarized patches_GW,Sac6_WT_GW,Sac6_none_GW
YKR044W,UIP5,,DMA2957,,177,1,23.7,0.034,0.006,0.051,0.056,0.09,0,0.763,0,116,1,40.5,0.31,0.06,0.017,0.595,0.017,127,1,14.2,0.031,0.031,0.055,0.016,0.858,0.008,121,1,28.1,0.041,0.058,0.033,0.149,0.719,0
YKR043C,SHB17,,DMA2958,,137,1,15.3,0.036,0.007,0.007,0.051,0.044,0.007,0.847,0,142,1,26.1,0.099,0.113,0.028,0.739,0.021,139,1,16.5,0.007,0.072,0.014,0.072,0.835,0,125,1,27.2,0.024,0.056,0.056,0.136,0.728,0
YKR042W,UTH1,,DMA2959,,63,1,25.4,0.016,0.016,0.016,0.111,0.095,0,0.746,0,29,1,20.7,0.034,0.034,0.138,0.793,0,70,1,27.1,0.014,0.2,0.014,0.029,0.729,0.014,63,1,22.2,0.063,0.048,0.048,0.048,0.778,0.016
YBR129C,OPY1,,DMA296,,141,1,10.6,0.021,0,0.014,0.035,0.014,0.021,0.894,0,71,1,32.4,0.127,0.127,0.014,0.676,0.056,41,1,24.4,0.024,0.22,0,0,0.756,0,39,1,12.8,0.026,0.026,0.077,0,0.872,0
YKR041W,,,DMA2960,,120,1,17.5,0.017,0,0.025,0.042,0.092,0,0.825,0,117,1,22.2,0.017,0.111,0.06,0.778,0.034,191,1,19.4,0.01,0.11,0.005,0.063,0.806,0.005,175,1,17.7,0.029,0.017,0.017,0.103,0.823,0.011
YKR040C,,,DMA2961,,171,1,12.3,0.023,0.006,0.029,0.029,0.035,0,0.877,0,54,1,14.8,0.019,0.056,0.056,0.852,0.019,257,1,18.3,0.035,0.062,0.004,0.078,0.817,0.004,232,1,12.5,0.026,0.039,0.013,0.039,0.875,0.009
YKR039W,GAP1,,DMA2962,,321,2,12.8,0.022,0.003,0.028,0.04,0.028,0.006,0.872,0,138,2,28.3,0.029,0.116,0.116,0.717,0.022,480,2,14.4,0.052,0.015,0.013,0.06,0.856,0.004,440,2,15.7,0.03,0.032,0.018,0.075,0.843,0.002
YKR036C,CAF4,,DMA2963,,103,1,18.4,0.01,0.01,0.019,0.058,0.039,0.049,0.816,0,259,1,25.1,0.031,0.015,0.135,0.749,0.069,209,1,20.1,0.062,0.024,0.01,0.1,0.799,0.005,174,1,15.5,0.046,0.023,0.011,0.063,0.845,0.011
YBR128C,ATG14,,DMA297,,495,2,18,0.014,0.012,0.055,0.044,0.055,0,0.82,0,106,1,25.5,0.009,0.085,0.085,0.745,0.075,538,2,21.2,0.017,0.177,0.002,0.011,0.788,0.006,333,1,13.5,0.024,0.033,0.027,0.048,0.865,0.003
YKR059W,TIF1,,DMA2978,,74,1,33.8,0.054,0,0.095,0.068,0.122,0,0.662,0,216,1,52.3,0.468,0.023,0.032,0.477,0,206,1,19.9,0.01,0.136,0.034,0.015,0.801,0.005,186,1,21.5,0.022,0.059,0.048,0.081,0.785,0.005
YKR058W,GLG1,,DMA2979,,61,1,13.1,0.016,0,0.033,0.016,0.066,0,0.869,0,376,1,28.2,0.072,0.096,0.051,0.718,0.064,137,1,12.4,0.036,0.058,0.015,0.015,0.876,0,126,1,14.3,0.024,0.008,0.04,0.071,0.857,0
YBR126C,TPS1,,DMA298,,693,4,24.4,0.036,0.006,0.079,0.092,0.019,0.01,0.756,0.001,283,3,29,0.088,0.025,0.141,0.71,0.035,365,4,12.1,0.022,0.047,0.011,0.036,0.879,0.005,296,3,22.3,0.017,0.064,0.068,0.068,0.777,0.007
YKR057W,RPS21A,,DMA2980,,119,2,31.1,0.059,0.008,0.025,0.034,0.168,0.017,0.689,0,155,2,41.9,0.219,0.077,0.071,0.581,0.052,207,2,13,0.024,0.048,0.034,0.024,0.87,0,96,1,22.9,0.031,0.021,0.01,0.156,0.771,0.01
YKR056W,TRM2,,DMA2981,,124,1,14.5,0.024,0,0.04,0.048,0.032,0,0.855,0,135,1,57.8,0.467,0.037,0.037,0.422,0.037,158,1,13.3,0,0.051,0.044,0.038,0.867,0,147,1,20.4,0.027,0.014,0.054,0.109,0.796,0
YKR055W,RHO4,,DMA2982,,69,1,17.4,0.029,0,0.014,0.072,0.058,0,0.826,0,120,1,20,0.058,0.05,0.075,0.8,0.017,118,1,18.6,0.025,0.144,0.008,0.008,0.814,0,104,1,26,0.029,0.038,0.087,0.106,0.74,0
YKR054C,DYN1,,DMA2983,,155,2,16.1,0.006,0,0.071,0.045,0.039,0,0.839,0,118,2,42.4,0.364,0.017,0.017,0.576,0.025,94,1,14.9,0.032,0.053,0.032,0.032,0.851,0,84,1,33.3,0.012,0.095,0.048,0.179,0.667,0
YKR053C,YSR3,,DMA2984,,37,1,24.3,0,0,0,0.081,0.054,0.108,0.757,0,80,1,21.3,0.075,0.05,0.05,0.788,0.038,174,1,27.6,0.046,0.121,0.011,0.098,0.724,0,156,1,26.9,0.045,0.058,0.026,0.141,0.731,0
YKR052C,MRS4,,DMA2985,,351,2,17.9,0.031,0.017,0.023,0.023,0.083,0.003,0.821,0,438,2,30.4,0.148,0.032,0.087,0.696,0.037,310,2,31,0.052,0.148,0.029,0.071,0.69,0.01,67,1,40.3,0,0.06,0.03,0.313,0.597,0
YKR051W,,,DMA2986,,108,1,26.9,0.074,0,0.056,0.093,0.037,0.009,0.731,0,156,1,23.7,0.077,0.077,0.045,0.763,0.038,220,1,23.2,0.036,0.064,0.023,0.1,0.768,0.009,190,1,27.9,0.032,0.047,0.032,0.168,0.721,0
YKR050W,TRK2,,DMA2987,,54,1,14.8,0.019,0,0.056,0.037,0.019,0.019,0.852,0,109,1,30.3,0.128,0.055,0.064,0.697,0.055,147,1,10.9,0.007,0.02,0.007,0.075,0.891,0,136,1,23.5,0.037,0,0.051,0.132,0.765,0.015
YKR049C,FMP46,,DMA2988,,38,1,13.2,0,0,0,0.105,0.026,0,0.868,0,161,1,46,0.398,0.025,0.019,0.54,0.019,203,1,13.3,0.01,0.01,0.069,0.039,0.867,0.005,161,1,28,0.037,0.043,0.019,0.18,0.72,0
YBR125C,PTC4,,DMA299,,539,2,20.2,0.03,0.011,0.02,0.052,0.089,0,0.798,0,171,1,26.3,0.14,0.018,0.064,0.737,0.041,148,3,45.3,0.054,0.358,0.027,0.007,0.547,0.007,27,1,11.1,0.037,0,0.037,0.037,0.889,0
YKR076W,ECM4,,DMA2990,,80,1,13.8,0.025,0,0,0.063,0.05,0,0.863,0,238,1,36.6,0.227,0.067,0.038,0.634,0.034,64,1,40.6,0.031,0.078,0.031,0.266,0.594,0,58,1,46.6,0.086,0.103,0.207,0.069,0.534,0
YKR074W,AIM29,,DMA2991,,377,3,28.4,0.037,0.011,0.074,0.037,0.119,0.003,0.716,0.003,856,3,35.2,0.144,0.042,0.121,0.648,0.044,184,2,26.1,0.054,0.141,0.033,0.022,0.739,0.011,61,1,27.9,0,0,0.115,0.164,0.721,0
YKR072C,SIS2,,DMA2992,,112,1,10.7,0.009,0,0.009,0.063,0.009,0.018,0.893,0,239,1,64,0.59,0.008,0.013,0.36,0.029,105,1,7.6,0.048,0,0.01,0.019,0.924,0,91,1,23.1,0.055,0.044,0.022,0.11,0.769,0
YKR070W,,,DMA2993,,252,1,16.7,0.032,0.004,0.024,0.06,0.036,0.008,0.833,0.004,132,1,28.8,0.152,0.045,0.053,0.712,0.038,197,1,10.2,0.051,0.01,0.02,0.02,0.898,0,186,1,18.3,0.038,0.022,0.043,0.081,0.817,0
YKR069W,MET1,,DMA2994,,129,1,14.7,0.023,0,0.023,0.031,0.062,0.008,0.853,0,140,1,28.6,0.114,0.071,0.05,0.714,0.05,111,2,27.9,0.009,0.216,0.009,0.036,0.721,0.009,31,1,9.7,0,0.065,0.032,0,0.903,0
YKR067W,GPT2,,DMA2995,,238,1,16,0.017,0.004,0.021,0.05,0.059,0.004,0.84,0.004,191,1,18.3,0.079,0.047,0.031,0.817,0.026,150,1,13.3,0.087,0.02,0.013,0.013,0.867,0,145,1,21.4,0.055,0.028,0.055,0.076,0.786,0
YKR066C,CCP1,,DMA2996,,221,1,14.9,0.018,0,0.027,0.045,0.05,0.009,0.851,0,159,1,25.8,0.069,0.094,0.063,0.742,0.031,93,1,17.2,0.022,0.022,0.054,0.065,0.828,0.011,83,1,38.6,0.036,0.06,0.096,0.181,0.614,0.012
YKR065C,PAM17,,DMA2997,,97,1,12.4,0,0,0,0.052,0.062,0.01,0.876,0,248,1,35.9,0.069,0.052,0.206,0.641,0.032,249,1,12.9,0.036,0.02,0.008,0.06,0.871,0.004,231,1,18.6,0.026,0.026,0.022,0.108,0.814,0.004
YKR064W,OAF3,,DMA2998,,121,1,15.7,0.017,0,0.017,0.058,0.066,0,0.843,0,249,1,22.9,0.064,0.088,0.032,0.771,0.044,399,1,20.6,0.05,0.028,0.005,0.12,0.794,0.003,366,1,16.1,0.03,0.044,0.03,0.055,0.839,0.003
YKR061W,KTR2,,DMA2999,,315,1,9.8,0.01,0,0.016,0.044,0.029,0,0.902,0,88,1,18.2,0.114,0.023,0.034,0.818,0.011,131,1,26,0.038,0.046,0.031,0.13,0.74,0.015,123,1,35,0.065,0.073,0.065,0.146,0.65,0
YAL026C,DRS2,,DMA30,,460,2,18.9,0.011,0,0.013,0.061,0.1,0.004,0.811,0,,,,,,,,,188,2,19.7,0.043,0.101,0.011,0.032,0.803,0.011,172,2,15.7,0.012,0.029,0.052,0.064,0.843,0
YBR122C,MRPL36,,DMA300,,180,3,12.8,0.033,0.006,0.033,0.028,0.022,0.006,0.872,0,,,,,,,,,247,3,27.9,0.024,0.194,0.016,0.04,0.721,0.004,92,2,35.9,0.022,0.043,0.109,0.163,0.641,0.022
YKR060W,UTP30,,DMA3000,,166,1,14.5,0.006,0.006,0.03,0.024,0.06,0.018,0.855,0,369,1,55.6,0.469,0.008,0.03,0.444,0.049,135,1,15.6,0.044,0.044,0.03,0.037,0.844,0,115,1,39.1,0.087,0.07,0.07,0.148,0.609,0.017
YKR092C,SRP40,,DMA3002,,804,4,23.1,0.029,0.017,0.024,0.056,0.101,0.005,0.769,0,578,4,38.8,0.074,0.111,0.151,0.612,0.052,253,4,24.5,0.016,0.146,0.016,0.059,0.755,0.008,163,3,12.9,0.006,0.031,0.061,0.031,0.871,0
YKR091W,SRL3,,DMA3003,,1183,3,19.9,0.025,0.017,0.012,0.057,0.083,0.004,0.801,0,1077,3,30.2,0.054,0.064,0.123,0.698,0.06,449,2,16,0.018,0.111,0.013,0.016,0.84,0.002,181,1,9.9,0.017,0.017,0.033,0.033,0.901,0
YKR090W,PXL1,,DMA3004,,373,2,14.7,0.008,0.005,0.019,0.038,0.067,0.008,0.853,0.003,573,2,29,0.066,0.052,0.138,0.71,0.033,90,1,48.9,0.067,0.011,0.011,0.4,0.511,0,103,1,30.1,0.078,0.029,0.117,0.068,0.699,0.01
YKR089C,TGL4,,DMA3005,,383,2,21.4,0.031,0,0.089,0.055,0.037,0.003,0.786,0,118,1,28,0.195,0.034,0.025,0.72,0.025,311,2,26.4,0.01,0.209,0.019,0.01,0.736,0.016,64,1,25,0.031,0.109,0.031,0.078,0.75,0
YKR088C,TVP38,,DMA3006,,121,1,19.8,0.017,0,0.05,0.033,0.083,0.017,0.802,0,159,1,32.1,0.239,0.019,0.044,0.679,0.019,203,1,11.8,0.02,0.054,0.005,0.039,0.882,0,183,1,20.8,0.016,0.016,0.033,0.137,0.792,0.005
YKR087C,OMA1,,DMA3007,,401,2,17.5,0.025,0,0.012,0.05,0.082,0.005,0.825,0,459,2,38.8,0.061,0.039,0.216,0.612,0.072,224,1,13.4,0.04,0.031,0.013,0.045,0.866,0.004,208,1,20.7,0.043,0.029,0.024,0.111,0.793,0
YKR084C,HBS1,,DMA3008,,477,4,22.2,0.071,0.008,0.027,0.069,0.042,0.004,0.778,0,342,4,34.8,0.135,0.082,0.099,0.652,0.032,288,3,14.9,0.024,0.049,0.045,0.028,0.851,0.003,264,3,17.8,0.023,0.038,0.027,0.087,0.822,0.004
YKR082W,NUP133,,DMA3009,,369,3,36.9,0.027,0.005,0.035,0.119,0.117,0.065,0.631,0,276,4,35.9,0.101,0.188,0.025,0.641,0.043,133,4,23.3,0.045,0.083,0.045,0.038,0.767,0.023,109,3,27.5,0.046,0.046,0.037,0.128,0.725,0.018
YKR080W,MTD1,,DMA3010,,168,2,19,0.03,0,0.024,0.03,0.095,0.012,0.81,0,519,2,27.2,0.048,0.05,0.129,0.728,0.044,252,1,28.6,0.024,0.222,0.024,0.012,0.714,0.004,202,1,18.8,0.03,0.03,0.05,0.079,0.812,0
YKR078W,,,DMA3011,,374,1,11,0.021,0.005,0.016,0.035,0.032,0,0.89,0,293,1,24.9,0.113,0.044,0.051,0.751,0.041,104,1,23.1,0.048,0.067,0.029,0.067,0.769,0.019,87,1,26.4,0.034,0.023,0.069,0.126,0.736,0.011
YKR077W,MSA2,,DMA3012,,139,1,12.9,0.014,0.014,0.022,0.043,0.036,0,0.871,0,425,1,30.1,0.049,0.042,0.153,0.699,0.056,120,1,20.8,0.05,0.025,0.025,0.1,0.792,0.008,109,1,22,0.055,0.018,0.028,0.119,0.78,0
YKR103W,NFT1,,DMA3014,,151,1,19.9,0.02,0.013,0.026,0.06,0.06,0.013,0.801,0.007,181,1,37.6,0.232,0.028,0.072,0.624,0.044,266,1,16.2,0.041,0.079,0.011,0.03,0.838,0,225,1,11.1,0.004,0.018,0.04,0.049,0.889,0
YKR102W,FLO10,,DMA3015,,237,1,11.4,0.013,0.004,0.013,0.034,0.046,0.004,0.886,0,174,1,25.9,0.08,0.063,0.075,0.741,0.04,200,1,12.5,0.03,0.03,0.005,0.055,0.875,0.005,164,1,16.5,0.024,0.018,0.049,0.073,0.835,0
YKR101W,SIR1,,DMA3016,,62,1,29,0.097,0,0.032,0.097,0.048,0.016,0.71,0,69,1,30.4,0.174,0.029,0.058,0.696,0.043,57,1,10.5,0.018,0.053,0.035,0,0.895,0,47,1,21.3,0,0.064,0.021,0.106,0.787,0.021
YKR100C,SKG1,,DMA3017,,189,1,23.8,0.026,0,0.037,0.106,0.063,0.005,0.762,0,105,1,27.6,0.133,0.057,0.038,0.724,0.048,126,1,21.4,0.032,0.056,0.048,0.071,0.786,0.008,117,1,28.2,0.026,0.034,0.068,0.154,0.718,0
YKR099W,BAS1,,DMA3018,,249,4,36.5,0.024,0.02,0.108,0.048,0.129,0.032,0.635,0.004,537,4,44.9,0.264,0.032,0.112,0.551,0.041,173,3,28.9,0.017,0.179,0.069,0.023,0.711,0,164,3,29.9,0.024,0.043,0.049,0.165,0.701,0.018
YKR098C,UBP11,,DMA3019,,119,1,15.1,0,0.008,0.025,0.042,0.067,0.008,0.849,0,63,1,6.3,0.032,0,0.016,0.937,0.016,852,2,20.4,0.034,0.144,0.006,0.019,0.796,0.001,251,1,13.9,0.02,0.04,0.024,0.052,0.861,0.004
YBR156C,SLI15,,DMA302,,138,1,15.9,0.014,0.022,0.065,0.022,0.029,0.007,0.841,0,163,1,27,0.098,0.098,0.037,0.73,0.037,27,1,22.2,0.037,0.185,0,0,0.778,0,26,1,23.1,0.115,0,0.077,0.038,0.769,0
YKR097W,PCK1,,DMA3020,,81,1,9.9,0.012,0.025,0,0.025,0.025,0.012,0.901,0,184,1,23.9,0.092,0.071,0.06,0.761,0.016,145,1,16.6,0.062,0.014,0.007,0.083,0.834,0,133,1,28.6,0.023,0.045,0.03,0.18,0.714,0.008
YKR096W,ESL2,,DMA3021,,110,1,16.4,0.009,0.018,0.009,0.036,0.091,0,0.836,0,142,1,19.7,0.07,0.049,0.07,0.803,0.007,225,1,21.8,0.027,0.027,0.018,0.142,0.782,0.004,213,1,28.2,0.014,0.042,0.033,0.188,0.718,0.005
YKR095W,MLP1,,DMA3022,,146,1,15.8,0,0.007,0.055,0.034,0.055,0.007,0.842,0,68,1,16.2,0.074,0.029,0.044,0.838,0.015,253,1,22.1,0.036,0.004,0.012,0.166,0.779,0.004,223,1,21.5,0.045,0.045,0.004,0.117,0.785,0.004
YKR094C,RPL40B,,DMA3023,,205,1,16.1,0.005,0.005,0.063,0.063,0.02,0.005,0.839,0,119,1,31.1,0.126,0.101,0.025,0.689,0.059,26,1,26.9,0.077,0.038,0.154,0,0.731,0,28,1,50,0.036,0.107,0.036,0.321,0.5,0
YKR093W,PTR2,,DMA3024,,67,1,14.9,0.015,0,0.015,0.06,0.06,0,0.851,0,168,1,21.4,0.095,0.06,0.03,0.786,0.03,186,1,24.7,0.108,0.016,0.032,0.091,0.753,0,172,1,15.7,0.023,0.035,0.035,0.064,0.843,0
YLL013C,PUF3,,DMA3026,,198,1,29.3,0.111,0.005,0.04,0.076,0.061,0,0.707,0,221,1,35.7,0.204,0.1,0.023,0.643,0.032,70,1,10,0.029,0.043,0,0.029,0.9,0,63,1,17.5,0,0.032,0.095,0.048,0.825,0
YLL012W,YEH1,,DMA3027,,264,2,25.8,0.034,0.008,0.098,0.008,0.106,0.004,0.742,0,370,2,64.1,0.597,0.016,0.005,0.359,0.022,107,1,19.6,0.019,0.075,0.056,0.028,0.804,0.019,94,1,19.1,0.043,0.032,0.043,0.074,0.809,0
YLL010C,PSR1,,DMA3028,,105,1,11.4,0.029,0,0.01,0.057,0.019,0,0.886,0,186,1,24.2,0.14,0.038,0.043,0.758,0.022,120,1,11.7,0.017,0.033,0,0.058,0.883,0.008,85,1,14.1,0.012,0.047,0.059,0.024,0.859,0
YLL009C,COX17,,DMA3029,,128,1,14.8,0.008,0.008,0.008,0.023,0.078,0.023,0.852,0,298,1,32.9,0.06,0.044,0.181,0.671,0.044,225,1,22.2,0.031,0.08,0.022,0.076,0.778,0.013,203,1,22.2,0.025,0.005,0.069,0.123,0.778,0
YBR151W,APD1,,DMA303,,67,1,26.9,0.045,0,0.134,0.045,0.045,0,0.731,0,108,1,32.4,0.102,0.167,0.019,0.676,0.037,78,1,19.2,0.013,0.128,0.013,0.026,0.808,0.013,64,1,14.1,0,0.047,0.016,0.078,0.859,0
YLL007C,LMO1,,DMA3030,,79,1,19,0.038,0.013,0.025,0.063,0.038,0.013,0.81,0,,,,,,,,,193,1,16.1,0.078,0.01,0.016,0.052,0.839,0.005,173,1,17.3,0.023,0.029,0.029,0.092,0.827,0
YLL006W,MMM1,,DMA3031,,106,2,37.7,0.019,0.009,0.009,0.019,0.321,0,0.623,0,687,2,83.7,0.017,0.121,0.659,0.163,0.039,145,2,28.3,0.048,0.062,0.021,0.145,0.717,0.007,95,1,45.3,0.053,0.021,0.116,0.242,0.547,0.021
YLL005C,SPO75,,DMA3032,,105,1,28.6,0.057,0.038,0.048,0.019,0.076,0.048,0.714,0,85,1,41.2,0.224,0.024,0.153,0.588,0.012,111,1,14.4,0.009,0.036,0.036,0.045,0.856,0.018,98,1,25.5,0.01,0.082,0.061,0.102,0.745,0
YLL002W,RTT109,,DMA3033,,229,4,45,0.017,0.004,0.083,0.031,0.288,0.026,0.55,0,17,1,70.6,0.529,0.118,0.059,0.294,0,45,3,40,0.067,0.156,0.111,0.067,0.6,0,45,3,48.9,0.044,0.022,0.178,0.244,0.511,0
YLL001W,DNM1,,DMA3034,,676,2,15.7,0.013,0.006,0.021,0.055,0.047,0.012,0.843,0.003,191,2,27.7,0.063,0.11,0.063,0.723,0.042,462,2,25.3,0.052,0.136,0.002,0.061,0.747,0.002,400,2,13,0.028,0.028,0.02,0.053,0.87,0.003
YKR106W,GEX2,,DMA3035,,64,1,14.1,0.016,0,0.031,0.063,0.031,0,0.859,0,128,1,59.4,0.531,0.008,0.023,0.406,0.031,154,1,33.8,0.058,0.136,0.013,0.11,0.662,0.019,147,1,17.7,0.034,0.034,0.02,0.082,0.823,0.007
YKR105C,VBA5,,DMA3036,,131,1,15.3,0.023,0.008,0.015,0.038,0.053,0.008,0.847,0.008,138,1,27.5,0.08,0.116,0.058,0.725,0.022,84,1,21.4,0.012,0.06,0.048,0.083,0.786,0.012,74,1,44.6,0.095,0.041,0.054,0.243,0.554,0.014
YLL026W,HSP104,,DMA3038,,183,1,18,0.011,0,0.033,0.033,0.087,0.016,0.82,0,119,1,23.5,0.092,0.05,0.059,0.765,0.034,170,1,17.6,0.053,0.1,0,0.024,0.824,0,146,1,14.4,0.034,0.027,0.034,0.048,0.856,0
YLL025W,PAU17,,DMA3039,,164,1,12.8,0.006,0.012,0.055,0,0.049,0.006,0.872,0,244,1,29.9,0.131,0.098,0.037,0.701,0.033,155,1,19.4,0.039,0.071,0.006,0.058,0.806,0.019,141,1,18.4,0.021,0.028,0.007,0.128,0.816,0
YBR150C,TBS1,,DMA304,,106,1,8.5,0.019,0.009,0.019,0.019,0.009,0,0.915,0.009,87,1,28.7,0.092,0.092,0.046,0.713,0.057,87,1,20.7,0.069,0.103,0.023,0.011,0.793,0,81,1,8.6,0,0.025,0.025,0.037,0.914,0
YLL024C,SSA2,,DMA3040,,183,1,14.8,0.038,0.005,0.011,0.033,0.044,0.016,0.852,0,149,1,20.1,0.101,0.054,0.027,0.799,0.02,150,1,28,0.04,0.18,0.027,0.02,0.72,0.013,140,1,20,0,0.021,0.029,0.15,0.8,0
YLL023C,POM33,,DMA3041,,288,1,14.2,0.01,0.014,0.01,0.031,0.076,0,0.858,0,254,1,26.4,0.059,0.079,0.083,0.736,0.043,102,1,17.6,0.059,0.02,0.029,0.069,0.824,0,88,1,27.3,0.034,0,0.08,0.159,0.727,0
YLL021W,SPA2,,DMA3042,,92,1,12,0.022,0.011,0.022,0.022,0.043,0,0.88,0,124,1,21.8,0.081,0.097,0.008,0.782,0.032,162,1,24.7,0.019,0.123,0.012,0.086,0.753,0.006,152,1,25.7,0,0.046,0.053,0.158,0.743,0
YLL020C,,,DMA3043,,85,1,18.8,0.012,0.012,0,0.071,0.094,0,0.812,0,119,1,46.2,0.277,0.025,0.092,0.538,0.067,84,1,10.7,0.024,0.048,0,0.024,0.893,0.012,78,1,25.6,0.038,0.064,0.09,0.064,0.744,0
YLL019C,KNS1,,DMA3044,,318,2,24.2,0.035,0.013,0.063,0.053,0.079,0,0.758,0,971,2,32.9,0.073,0.06,0.149,0.671,0.046,140,1,16.4,0.05,0,0.029,0.071,0.836,0.014,133,1,29.3,0.045,0.053,0,0.195,0.707,0
YLL017W,,,DMA3045,,272,2,15.1,0.018,0,0.018,0.033,0.074,0.007,0.849,0,131,1,19.8,0.084,0.031,0.038,0.802,0.046,326,2,22.1,0.058,0.049,0.018,0.089,0.779,0.006,296,2,23.3,0.044,0.017,0.047,0.122,0.767,0.003
YLL016W,SDC25,,DMA3046,,587,2,16,0.024,0.005,0.044,0.055,0.032,0,0.84,0,184,2,23.9,0.005,0.13,0.076,0.761,0.027,561,2,19.1,0.02,0.111,0.016,0.039,0.809,0.005,484,2,21.5,0.029,0.033,0.025,0.128,0.785,0
YLL015W,BPT1,,DMA3047,,351,2,14,0.023,0.003,0.023,0.04,0.043,0.009,0.86,0,11,1,45.5,0.182,0,0.182,0.545,0.091,618,2,17.8,0.037,0.04,0.013,0.083,0.822,0.005,547,2,19.4,0.029,0.031,0.031,0.099,0.806,0.004
YLL014W,EMC6,,DMA3048,,492,2,18.1,0.02,0.008,0.03,0.049,0.069,0.004,0.819,0,359,2,31.5,0.134,0.095,0.047,0.685,0.039,268,1,28.7,0.015,0.201,0.019,0.049,0.713,0.004,242,1,19.8,0.033,0.054,0.025,0.087,0.802,0
YBR149W,ARA1,,DMA305,,288,1,10.4,0.007,0,0.017,0.031,0.049,0,0.896,0,148,1,24.3,0.068,0.047,0.108,0.757,0.02,58,1,17.2,0.034,0.103,0.017,0.017,0.828,0,52,1,21.2,0,0.038,0.038,0.115,0.788,0.019
YLL045C,RPL8B,,DMA3050,,138,1,15.9,0.022,0,0.051,0.029,0.051,0.007,0.841,0,296,1,23.6,0.091,0.057,0.051,0.764,0.037,99,1,15.2,0.03,0.061,0.03,0.03,0.848,0,86,1,18.6,0.047,0.035,0.023,0.081,0.814,0
YLL044W,,,DMA3051,,,,,,,,,,,,,,,,,,,,,78,1,25.6,0.038,0.103,0.103,0.013,0.744,0,71,1,25.4,0.028,0.014,0.056,0.155,0.746,0
YLL042C,ATG10,,DMA3053,,324,2,13.9,0.015,0.009,0.022,0.037,0.056,0,0.861,0,341,2,32.6,0.173,0.032,0.062,0.674,0.059,194,1,9.8,0.036,0.01,0.01,0.041,0.902,0,177,1,11.3,0.011,0.011,0.034,0.056,0.887,0
YLL041C,SDH2,,DMA3054,,93,1,21.5,0.054,0.022,0,0.054,0.075,0.011,0.785,0,43,1,14,0.093,0.023,0.023,0.86,0,136,1,17.6,0.059,0.029,0.015,0.074,0.824,0,128,1,29.7,0.039,0.031,0.047,0.18,0.703,0
YLL040C,VPS13,,DMA3055,,139,1,25.9,0.05,0,0.014,0.108,0.065,0.014,0.741,0.007,154,1,33.1,0.149,0.065,0.078,0.669,0.039,164,1,40.9,0.134,0.159,0.006,0.098,0.591,0.012,155,1,23.9,0.032,0.039,0.026,0.129,0.761,0.013
YLL039C,UBI4,,DMA3056,,133,1,12.8,0.023,0,0.015,0.023,0.053,0.015,0.872,0,139,1,22.3,0.072,0.072,0.043,0.777,0.036,99,1,13.1,0.02,0.03,0.03,0.051,0.869,0,97,1,22.7,0.041,0.041,0.031,0.103,0.773,0.01
YLL038C,ENT4,,DMA3057,,499,3,24.6,0.032,0.03,0.034,0.06,0.086,0.004,0.754,0,336,3,41.7,0.238,0.113,0.03,0.583,0.036,325,4,23.7,0.04,0.138,0.015,0.034,0.763,0.009,174,3,21.3,0.069,0.029,0.04,0.069,0.787,0.006
YLL032C,,,DMA3058,,237,1,18.6,0.025,0.008,0.025,0.046,0.068,0.013,0.814,0,185,2,36.8,0.297,0.027,0.038,0.632,0.005,221,1,19.5,0.005,0.041,0.068,0.072,0.805,0.009,197,1,28.9,0.03,0.03,0.03,0.198,0.711,0
YLL029W,FRA1,,DMA3059,,122,1,12.3,0.016,0.008,0.016,0.033,0.049,0,0.877,0,85,1,16.5,0.035,0.047,0.059,0.835,0.024,261,1,22.6,0.05,0.031,0.004,0.138,0.774,0.004,230,1,21.7,0.039,0.026,0.043,0.104,0.783,0.004
YBR148W,YSW1,,DMA306,,161,1,12.4,0.031,0,0.019,0.031,0.025,0.019,0.876,0,250,1,32.4,0.08,0.156,0.032,0.676,0.056,34,1,17.6,0,0.147,0,0.029,0.824,0,35,1,22.9,0.029,0.029,0.086,0.086,0.771,0
YLL028W,TPO1,,DMA3060,,166,1,17.5,0.03,0.006,0.03,0.036,0.072,0,0.825,0,230,1,17.4,0.043,0.07,0.039,0.826,0.022,140,1,16.4,0.021,0.029,0.043,0.071,0.836,0,138,1,21,0.007,0.051,0.036,0.116,0.79,0
