Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_GW,Vph1_Num_wells_GW,Vph1_penetrance_GW,Vph1_class E_GW,Vph1_class G_GW,Vph1_enlarged_GW,Vph1_fragmented_GW,Vph1_multilobed_GW,Vph1_V-ATPase defect_GW,Vph1_WT_GW,Vph1_none_GW,Snf7_Num_cells_GW,Snf7_Num_wells_GW,Snf7_penetrance_GW,Snf7_condensed_GW,Snf7_fragmented_GW,Snf7_membrane_GW,Snf7_WT_GW,Snf7_none_GW,Sla1_Num_cells_GW,Sla1_Num_wells_GW,Sla1_penetrance_GW,Sla1_aggregate_GW,Sla1_decreased patch number_GW,Sla1_depolarized patches_GW,Sla1_increased patch number_GW,Sla1_WT_GW,Sla1_none_GW,Sac6_Num_cells_GW,Sac6_Num_wells_GW,Sac6_penetrance_GW,Sac6_aggregate_GW,Sac6_bright patches_GW,Sac6_decreased patch number_GW,Sac6_depolarized patches_GW,Sac6_WT_GW,Sac6_none_GW
YDR448W,ADA2,,DMA-SLOW116,,181,3,19.9,0.017,0.011,0.066,0.061,0.033,0.011,0.801,0,320,3,29.7,0.203,0.006,0.053,0.703,0.034,98,2,21.4,0.01,0.133,0.031,0.031,0.786,0.01,,,,,,,,,
YDR443C,SSN2,,DMA-SLOW117,,160,1,15,0.013,0.019,0,0.025,0.094,0,0.85,0,129,3,68.2,0.07,0.364,0.202,0.318,0.047,45,1,31.1,0.067,0.156,0.022,0.067,0.689,0,39,1,43.6,0,0,0.359,0.077,0.564,0
YDR442W,,,DMA-SLOW118,,81,1,24.7,0.049,0.037,0.037,0.037,0.025,0.049,0.753,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR432W,NPL3,,DMA-SLOW119,,34,1,35.3,0.029,0.029,0.029,0.029,0.235,0,0.647,0,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL009W,SPO7,,DMA-SLOW12,,151,1,11.3,0.026,0,0,0.046,0.026,0.013,0.887,0,43,1,48.8,0.07,0.233,0.14,0.512,0.047,79,1,16.5,0,0.139,0.013,0.013,0.835,0,71,1,14.1,0,0.014,0.07,0.056,0.859,0
YDR418W,RPL12B,,DMA-SLOW120,,115,2,27,0.017,0,0.009,0.035,0.209,0,0.73,0,29,1,27.6,0.241,0.034,0,0.724,0,202,1,32.2,0.168,0.01,0.005,0.129,0.678,0.01,176,1,19.3,0.051,0.091,0,0.034,0.807,0.017
YEL046C,GLY1,,DMA-SLOW121,,,,,,,,,,,,,,,,,,,,,49,1,24.5,0.082,0.102,0,0.061,0.755,0,42,1,19,0.095,0,0,0.095,0.81,0
YEL045C,,,DMA-SLOW122,,25,1,20,0.04,0,0.04,0.04,0.08,0,0.8,0,134,1,28.4,0.052,0.015,0.164,0.716,0.052,301,2,16.9,0.03,0.053,0.047,0.033,0.831,0.007,267,2,16.1,0.007,0.019,0.019,0.112,0.839,0.004
YEL044W,IES6,,DMA-SLOW123,,,,,,,,,,,,,475,2,24.4,0.055,0.008,0.131,0.756,0.051,,,,,,,,,,,,,,,,,,
YEL036C,ANP1,,DMA-SLOW124,,55,2,58.2,0.036,0,0,0.055,0.455,0.036,0.418,0,665,2,30.4,0.032,0.03,0.183,0.696,0.059,,,,,,,,,,,,,,,,,,
YEL029C,BUD16,,DMA-SLOW125,,203,1,15.8,0.015,0,0,0.034,0.108,0,0.842,0,466,3,35.4,0.266,0.013,0.049,0.646,0.026,44,1,27.3,0.068,0.045,0.114,0.023,0.727,0.023,40,1,20,0.05,0.025,0.075,0.05,0.8,0
YEL027W,VMA3,,DMA-SLOW126,,78,1,100,0,0,0,0,0,1,0,0,522,1,32.4,0.054,0.015,0.211,0.676,0.044,36,2,55.6,0.056,0.361,0.083,0,0.444,0.056,,,,,,,,,
YEL009C,GCN4,,DMA-SLOW127,,74,1,90.5,0.014,0.014,0.014,0.27,0.378,0.216,0.095,0,236,1,31.4,0.047,0.008,0.212,0.686,0.047,,,,,,,,,,,,,,,,,,
YDR529C,QCR7,,DMA-SLOW128,,469,1,7.7,0.006,0.002,0,0.021,0.036,0.011,0.923,0,174,2,39.1,0.075,0.126,0.161,0.609,0.029,18,1,33.3,0.056,0.222,0.056,0,0.667,0,18,1,22.2,0,0,0.222,0,0.778,0
YDR518W,EUG1,,DMA-SLOW131,,536,1,5.6,0.006,0.002,0,0.009,0.037,0,0.944,0.002,568,3,21.8,0.086,0.072,0.028,0.782,0.032,248,1,19.4,0.06,0.04,0.012,0.069,0.806,0.012,237,1,15.2,0.025,0.025,0.03,0.068,0.848,0.004
YDR507C,GIN4,,DMA-SLOW132,,181,1,17.1,0.022,0.011,0,0.017,0.094,0.022,0.829,0.006,140,3,46.4,0.343,0.043,0.014,0.536,0.064,132,1,32.6,0.061,0.068,0.098,0.098,0.674,0,162,1,21,0.006,0.056,0.068,0.08,0.79,0
YER070W,RNR1,,DMA-SLOW133,,21,1,33.3,0,0,0.095,0.048,0.19,0,0.667,0,134,3,34.3,0.127,0.075,0.104,0.657,0.037,116,2,39.7,0.06,0.25,0.017,0.06,0.603,0.009,,,,,,,,,
YER058W,PET117,,DMA-SLOW136,,169,1,6.5,0.006,0,0,0.012,0.03,0.018,0.935,0,113,2,18.6,0.044,0.08,0.044,0.814,0.018,19,1,26.3,0,0.158,0.053,0,0.737,0.053,14,1,14.3,0.071,0,0,0.071,0.857,0
YER050C,RSM18,,DMA-SLOW137,,358,2,4.5,0.003,0,0,0.008,0.025,0.008,0.955,0,94,2,14.9,0.085,0.043,0,0.851,0.021,169,2,18.3,0.053,0.059,0.03,0.036,0.817,0.006,154,2,20.1,0.039,0.013,0.032,0.11,0.799,0.006
YER044C,ERG28,,DMA-SLOW138,,,,,,,,,,,,,179,1,39.1,0.089,0.006,0.251,0.609,0.045,268,2,24.3,0.067,0.134,0.007,0.022,0.757,0.011,,,,,,,,,
YER040W,GLN3,,DMA-SLOW139,,27,1,11.1,0,0,0,0,0.111,0,0.889,0,136,4,56.6,0.132,0.265,0.125,0.434,0.044,12,1,50,0.167,0.25,0.083,0,0.5,0,11,1,81.8,0,0.273,0.182,0.364,0.182,0
YBR037C,SCO1,,DMA-SLOW14,,364,3,18.1,0.038,0.003,0.071,0.025,0.03,0.014,0.819,0,366,4,60.7,0.284,0.022,0.235,0.393,0.066,356,2,15.7,0.034,0.031,0.045,0.037,0.843,0.011,273,2,22.3,0.04,0.044,0.048,0.088,0.777,0.004
YER017C,AFG3,,DMA-SLOW140,,148,1,6.1,0.007,0,0,0.007,0.034,0.014,0.939,0,62,2,24.2,0.081,0.065,0.065,0.758,0.032,62,1,19.4,0.048,0.113,0.032,0,0.806,0,64,1,31.3,0.047,0.031,0.141,0.094,0.688,0
YER014C-A,BUD25,,DMA-SLOW141,,,,,,,,,,,,,393,2,44.5,0.053,0.061,0.288,0.555,0.043,10,1,40,0.1,0,0.1,0.2,0.6,0,7,1,100,0,0,0.429,0.571,0,0
