Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YKL162C-A,,,DMA-SLOW242,,1634,2,6.9,0.012,0.019,0.003,0.018,0.016,0.001,0.931,0.001,545,2,21.3,0.072,0.07,0.033,0.787,0.039,1317,2,38,0.028,0.127,0.204,0.014,0.62,0.007,1384,2,22.6,0.009,0.04,0.056,0.113,0.774,0.007
YKL155C,RSM22,,DMA-SLOW243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL143W,LTV1,,DMA-SLOW244,,1010,2,9.3,0.024,0.01,0.015,0.013,0.032,0,0.907,0,575,2,57.6,0.544,0.014,0.009,0.424,0.009,323,2,23.8,0.059,0.065,0.037,0.071,0.762,0.006,236,2,18.6,0.013,0.076,0.025,0.072,0.814,0
YKL138C,MRPL31,,DMA-SLOW245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL134C,Oct-01,,DMA-SLOW246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL126W,YPK1,,DMA-SLOW247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL119C,VPH2,,DMA-SLOW248,,,,,,,,,,,,,,,,,,,,,37,1,59.5,0.108,0.027,0.432,0.027,0.405,0,,,,,,,,,
YBR282W,MRPL27,,DMA-SLOW25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL011C,CCE1,,DMA-SLOW252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR027C,AAT2,,DMA-SLOW253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR025W,SNF7,,DMA-SLOW254,,200,2,74,0.245,0.015,0.03,0.315,0.13,0.005,0.26,0,,,,,,,,,169,2,94.1,0.787,0.018,0.041,0.083,0.059,0.012,264,2,36,0.008,0.178,0.011,0.125,0.64,0.038
YLL033W,IRC19,,DMA-SLOW255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL030C,RRT7,,DMA-SLOW256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL027W,ISA1,,DMA-SLOW257,,,,,,,,,,,,,,,,,,,,,400,1,17,0.008,0.158,0,0.003,0.83,0.003,,,,,,,,,
YLL018C-A,COX19,,DMA-SLOW258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR085C,MRPL20,,DMA-SLOW259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR268W,MRPL37,,DMA-SLOW26,,56,2,41.1,0.054,0,0.018,0.125,0.214,0,0.589,0,61,1,52.5,0.082,0.426,0,0.475,0.016,149,2,30.2,0.054,0.054,0.168,0.02,0.698,0.007,183,2,33.3,0,0.186,0.033,0.104,0.667,0.011
YKR075C,,,DMA-SLOW260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR073C,,,DMA-SLOW261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR006C,MRPL13,,DMA-SLOW262,,295,2,26.4,0.003,0,0.054,0.108,0.098,0,0.736,0,170,2,34.7,0.041,0.229,0.053,0.653,0.024,165,2,32.1,0.079,0.073,0.079,0.073,0.679,0.018,190,2,14.2,0.011,0.042,0.026,0.053,0.858,0.011
YKL194C,MST1,,DMA-SLOW263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL170W,MRPL38,,DMA-SLOW264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR244C,MAP1,,DMA-SLOW265,,68,2,38.2,0.015,0,0.103,0.088,0.162,0.015,0.618,0,,,,,,,,,516,1,23.3,0.017,0.023,0.109,0.076,0.767,0.008,179,2,71.5,0,0.011,0.313,0.385,0.285,0.006
YLR226W,BUR2,,DMA-SLOW267,,48,1,39.6,0.021,0,0.146,0.021,0.167,0.042,0.604,0,985,1,76.2,0.043,0.103,0.518,0.238,0.099,193,2,62.7,0.062,0.052,0.466,0.047,0.373,0,42,1,33.3,0.024,0.024,0,0.286,0.667,0
YLR203C,MSS51,,DMA-SLOW268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR202C,,,DMA-SLOW269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR251W,MRPS5,,DMA-SLOW27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR201C,COQ9,,DMA-SLOW270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR139C,SLS1,,DMA-SLOW272,,319,2,51.4,0.019,0.013,0.025,0.088,0.357,0.013,0.486,0,59,1,71.2,0.085,0.525,0.034,0.288,0.068,177,2,37.3,0.062,0.192,0.079,0.023,0.627,0.017,634,2,50.8,0.008,0.019,0.216,0.254,0.492,0.011
YLR074C,BUD20,,DMA-SLOW273,,689,2,16.5,0.006,0.003,0.004,0.08,0.073,0,0.835,0,603,2,34.2,0.073,0.222,0.027,0.658,0.02,267,2,26.2,0.052,0.064,0.082,0.064,0.738,0,316,2,23.1,0.003,0.199,0.013,0.013,0.769,0.003
YLR069C,MEF1,,DMA-SLOW274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR068W,FYV7,,DMA-SLOW275,,638,1,10.7,0.014,0.002,0.067,0.013,0.009,0.002,0.893,0,426,2,22.3,0.087,0.075,0.049,0.777,0.012,762,2,15.4,0.026,0.051,0.029,0.045,0.846,0.003,1195,2,18.1,0.007,0.123,0.019,0.03,0.819,0.002
YLR052W,IES3,,DMA-SLOW276,,679,2,13.5,0.009,0.001,0.071,0.029,0.024,0.001,0.865,0,591,2,35.9,0.269,0.047,0.017,0.641,0.025,433,2,17.6,0.032,0.023,0.042,0.072,0.824,0.007,767,2,12,0.008,0.065,0.026,0.018,0.88,0.003
YLR396C,VPS33,,DMA-SLOW277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR382C,NAM2,,DMA-SLOW278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR369W,SSQ1,,DMA-SLOW279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR191W,RPL21A,,DMA-SLOW28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR358C,,,DMA-SLOW280,,,,,,,,,,,,,10,1,100,0,0,1,0,0,72,1,29.2,0.056,0.139,0.069,0.028,0.708,0,,,,,,,,,
YLR331C,JIP3,,DMA-SLOW281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR312W-A,MRPL15,,DMA-SLOW283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR304C,ACO1,,DMA-SLOW284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR295C,ATP14,,DMA-SLOW285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR288C,MEC3,,DMA-SLOW286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR270W,DCS1,,DMA-SLOW287,,1406,2,10.8,0.008,0.009,0.034,0.026,0.03,0.001,0.892,0.001,1177,2,22.7,0.081,0.082,0.037,0.773,0.028,1231,2,24.8,0.031,0.099,0.076,0.036,0.752,0.006,905,2,15.2,0.011,0.072,0.03,0.038,0.848,0.002
YLR260W,LCB5,,DMA-SLOW288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR179C,FZO1,,DMA-SLOW29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR024W,MRPL3,,DMA-SLOW290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YML094C-A,,,DMA-SLOW291,,1113,2,12.6,0.013,0.005,0.023,0.029,0.036,0.02,0.874,0,280,2,32.9,0.082,0.132,0.096,0.671,0.018,613,2,24.1,0.051,0.091,0.065,0.026,0.759,0.008,548,2,39.4,0.002,0.004,0.128,0.254,0.606,0.007
YML061C,PIF1,,DMA-SLOW292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
