Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YKR011C,,,DMA2918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR010C,TOF2,,DMA2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR134W,,,DMA292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR009C,FOX2,,DMA2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR007W,MEH1,,DMA2921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR005C,,,DMA2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR003W,OSH6,,DMA2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR001C,VPS1,,DMA2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL222C,,,DMA2925,,1682,2,8,0.007,0.023,0.002,0.021,0.026,0.001,0.92,0,199,1,18.6,0.03,0.101,0.025,0.814,0.03,1088,2,38.1,0.059,0.095,0.188,0.03,0.619,0.009,2000,2,17.1,0.009,0.028,0.058,0.069,0.83,0.007
YKL221W,MCH2,,DMA2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL220C,FRE2,,DMA2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR024C,DBP7,,DMA2929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR132C,AGP2,,DMA293,,2431,2,7.8,0.007,0.023,0.003,0.028,0.017,0.001,0.922,0,716,2,25.6,0.056,0.159,0.017,0.744,0.024,1118,2,30.8,0.024,0.117,0.137,0.021,0.692,0.009,1114,2,17.6,0.004,0.03,0.049,0.083,0.824,0.009
YKR023W,,,DMA2930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR021W,ALY1,,DMA2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR020W,VPS51,,DMA2932,,223,2,73.5,0.004,0.018,0.004,0.534,0.161,0.013,0.265,0,14,1,85.7,0,0.786,0,0.143,0.071,110,2,40.9,0.018,0.064,0.3,0.027,0.591,0,147,2,86.4,0.048,0.02,0.279,0.503,0.136,0.014
YKR019C,IRS4,,DMA2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR018C,,,DMA2934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR017C,HEL1,,DMA2935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR016W,MIC60,,DMA2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR015C,,,DMA2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR014C,YPT52,,DMA2938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR013W,PRY2,,DMA2939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR131W,CCZ1,,DMA294,,350,2,78.6,0.143,0.083,0.003,0.549,0.006,0.003,0.214,0,,,,,,,,,191,2,44,0.021,0.372,0.037,0.005,0.56,0.005,353,2,14.2,0.003,0.076,0.017,0.045,0.858,0
YKR035W-A,DID2,,DMA2941,,1209,2,45.6,0.054,0.068,0.002,0.222,0.109,0,0.544,0.001,886,2,45.4,0.368,0.041,0.02,0.546,0.025,578,2,53.6,0.327,0.014,0.133,0.045,0.464,0.017,211,2,22.3,0.005,0.047,0.014,0.156,0.777,0
YKR035C,OPI8,,DMA2942,,668,2,44.8,0.064,0.012,0.001,0.222,0.144,0.003,0.552,0.001,415,2,33.7,0.133,0.113,0.075,0.663,0.017,545,2,56.3,0.325,0.017,0.16,0.039,0.437,0.024,1065,2,13.6,0.009,0.053,0.02,0.053,0.864,0.002
YKR034W,DAL80,,DMA2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR033C,,,DMA2944,,2469,2,8.4,0.009,0.011,0.006,0.038,0.02,0,0.916,0,830,2,17.2,0.027,0.136,0.004,0.828,0.006,994,2,22.2,0.035,0.099,0.067,0.017,0.778,0.004,1351,2,16.5,0.004,0.041,0.054,0.062,0.835,0.003
YKR032W,,,DMA2945,,1762,2,7.7,0.009,0.016,0.005,0.019,0.029,0,0.923,0,947,2,28.2,0.049,0.149,0.057,0.718,0.027,921,2,25.1,0.041,0.1,0.092,0.013,0.749,0.004,311,2,16.4,0.003,0.035,0.042,0.084,0.836,0
YKR031C,SPO14,,DMA2946,,830,2,31.9,0.02,0.041,0.005,0.184,0.063,0.006,0.681,0,279,2,69.9,0.011,0.577,0.075,0.301,0.036,648,2,27.3,0.049,0.1,0.108,0.012,0.727,0.003,1358,2,20,0.025,0.034,0.058,0.079,0.8,0.004
YKR030W,GMH1,,DMA2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR029C,SET3,,DMA2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR028W,SAP190,,DMA2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR130C,SHE3,,DMA295,,2196,2,8.2,0.01,0.016,0.009,0.024,0.021,0.003,0.918,0,907,2,18,0.033,0.098,0.021,0.82,0.028,1614,2,25.2,0.018,0.107,0.115,0.008,0.748,0.003,1971,2,23.2,0.009,0.023,0.086,0.109,0.768,0.006
YKR027W,BCH2,,DMA2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR026C,GCN3,,DMA2951,,278,2,16.9,0.04,0,0.108,0.007,0.011,0.004,0.831,0,210,2,30.5,0.076,0.19,0.014,0.695,0.024,135,1,27.4,0.037,0.096,0.126,0,0.726,0.015,381,2,16.5,0.01,0.045,0.021,0.084,0.835,0.005
YKR048C,NAP1,,DMA2953,,1324,2,9.1,0.003,0.024,0.005,0.029,0.028,0.002,0.909,0,523,2,20.5,0.042,0.138,0.013,0.795,0.011,843,2,35.5,0.018,0.223,0.098,0.007,0.645,0.008,805,2,31.4,0.02,0.016,0.155,0.118,0.686,0.005
YKR047W,,,DMA2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR046C,PET10,,DMA2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR045C,,,DMA2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR044W,UIP5,,DMA2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR043C,SHB17,,DMA2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR042W,UTH1,,DMA2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR129C,OPY1,,DMA296,,126,1,7.9,0.008,0.016,0.016,0.024,0.008,0.008,0.921,0,1030,2,24.5,0.05,0.118,0.052,0.755,0.024,1443,2,30.9,0.049,0.086,0.136,0.029,0.691,0.01,1651,2,18.1,0.009,0.03,0.045,0.093,0.819,0.004
YKR041W,,,DMA2960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR040C,,,DMA2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR039W,GAP1,,DMA2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR036C,CAF4,,DMA2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR128C,ATG14,,DMA297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR059W,TIF1,,DMA2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR058W,GLG1,,DMA2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR126C,TPS1,,DMA298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR057W,RPS21A,,DMA2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR056W,TRM2,,DMA2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR055W,RHO4,,DMA2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR054C,DYN1,,DMA2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR053C,YSR3,,DMA2984,,1160,2,13.9,0.008,0.01,0.016,0.053,0.053,0,0.861,0,969,2,21.1,0.028,0.133,0.033,0.789,0.017,874,2,28.6,0.029,0.111,0.119,0.017,0.714,0.01,935,2,12.2,0.005,0.039,0.031,0.043,0.878,0.004
YKR052C,MRS4,,DMA2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR051W,,,DMA2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR050W,TRK2,,DMA2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR049C,FMP46,,DMA2988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR125C,PTC4,,DMA299,,1015,2,13.4,0.004,0.009,0.023,0.047,0.049,0.002,0.866,0,983,2,20.1,0.065,0.094,0.023,0.799,0.019,1007,2,23.7,0.023,0.108,0.082,0.015,0.763,0.009,758,2,16.2,0.011,0.088,0.032,0.028,0.838,0.004
YKR076W,ECM4,,DMA2990,,1109,2,13.7,0.004,0.005,0.014,0.048,0.06,0.007,0.863,0.001,1055,2,18.9,0.035,0.095,0.031,0.811,0.027,691,2,27.8,0.035,0.117,0.106,0.017,0.722,0.003,819,2,15.1,0.009,0.039,0.053,0.046,0.849,0.005
YKR074W,AIM29,,DMA2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR072C,SIS2,,DMA2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR070W,,,DMA2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR069W,MET1,,DMA2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR067W,GPT2,,DMA2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR066C,CCP1,,DMA2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR065C,PAM17,,DMA2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR064W,OAF3,,DMA2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR061W,KTR2,,DMA2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL026C,DRS2,,DMA30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR122C,MRPL36,,DMA300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR060W,UTP30,,DMA3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR092C,SRP40,,DMA3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR091W,SRL3,,DMA3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR090W,PXL1,,DMA3004,,1076,2,8.6,0.009,0.005,0.01,0.035,0.025,0.001,0.914,0,1332,2,25.7,0.057,0.095,0.066,0.743,0.039,1060,2,26.4,0.036,0.108,0.084,0.025,0.736,0.012,800,2,16.1,0.003,0.011,0.076,0.07,0.839,0.001
YKR089C,TGL4,,DMA3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR088C,TVP38,,DMA3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR087C,OMA1,,DMA3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR084C,HBS1,,DMA3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR082W,NUP133,,DMA3009,,678,2,13.1,0.019,0.021,0.006,0.034,0.05,0.001,0.869,0,651,2,31.6,0.045,0.172,0.072,0.684,0.028,422,2,28.2,0.045,0.085,0.109,0.036,0.718,0.007,631,2,31.2,0.036,0.059,0.057,0.154,0.688,0.006
YKR080W,MTD1,,DMA3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR078W,,,DMA3011,,2068,2,11.1,0.006,0.005,0.018,0.05,0.029,0.002,0.889,0,1026,2,11.8,0.023,0.081,0.007,0.882,0.007,623,2,28.3,0.024,0.13,0.103,0.021,0.717,0.005,1237,2,15.4,0.008,0.043,0.04,0.06,0.846,0.003
YKR077W,MSA2,,DMA3012,,2111,2,11,0.004,0.025,0.004,0.053,0.024,0,0.89,0,1170,2,25.1,0.072,0.097,0.049,0.749,0.033,1074,2,27.6,0.032,0.121,0.101,0.014,0.724,0.008,1604,2,15.7,0.007,0.041,0.071,0.034,0.843,0.004
YKR103W,NFT1,,DMA3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR102W,FLO10,,DMA3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR101W,SIR1,,DMA3016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR100C,SKG1,,DMA3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR099W,BAS1,,DMA3018,,157,2,17.8,0.032,0,0.096,0.032,0.013,0.006,0.822,0,51,2,47.1,0.333,0.098,0.02,0.529,0.02,82,2,46.3,0.037,0.061,0.293,0.049,0.537,0.024,134,2,25.4,0.015,0.142,0.022,0.075,0.746,0
YKR098C,UBP11,,DMA3019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR156C,SLI15,,DMA302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR097W,PCK1,,DMA3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR096W,ESL2,,DMA3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR095W,MLP1,,DMA3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR094C,RPL40B,,DMA3023,,1353,2,10.7,0.01,0.007,0.029,0.034,0.019,0.007,0.893,0,729,2,27.8,0.095,0.104,0.059,0.722,0.021,844,2,37.9,0.033,0.214,0.11,0.012,0.621,0.009,1203,2,23.9,0.01,0.027,0.111,0.086,0.761,0.006
YKR093W,PTR2,,DMA3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL013C,PUF3,,DMA3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL012W,YEH1,,DMA3027,,1944,2,6.3,0.009,0.013,0.003,0.017,0.02,0.001,0.937,0.001,1207,2,18.4,0.045,0.087,0.026,0.816,0.027,1193,2,28.2,0.029,0.119,0.109,0.018,0.718,0.007,1431,2,15.3,0.01,0.026,0.063,0.052,0.847,0.003
YLL010C,PSR1,,DMA3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL009C,COX17,,DMA3029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR151W,APD1,,DMA303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL007C,LMO1,,DMA3030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL006W,MMM1,,DMA3031,,1761,2,20,0.011,0.005,0.106,0.036,0.04,0.001,0.8,0.001,2439,2,97.9,0.009,0.047,0.91,0.021,0.012,1078,2,14.9,0.038,0.018,0.045,0.045,0.851,0.003,1478,2,46,0.008,0.008,0.242,0.196,0.54,0.007
YLL005C,SPO75,,DMA3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL002W,RTT109,,DMA3033,,409,2,32.3,0.027,0.012,0.039,0.037,0.2,0.007,0.677,0,819,2,93.3,0.006,0.063,0.849,0.067,0.015,515,2,50.9,0.019,0.247,0.216,0.014,0.491,0.014,626,2,36.9,0.019,0.053,0.053,0.233,0.631,0.011
YLL001W,DNM1,,DMA3034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR106W,GEX2,,DMA3035,,544,2,17.3,0.007,0.007,0.018,0.057,0.077,0.006,0.827,0,680,2,22.6,0.06,0.103,0.04,0.774,0.024,509,2,27.7,0.02,0.112,0.112,0.02,0.723,0.014,302,2,15.9,0.007,0.056,0.02,0.073,0.841,0.003
YKR105C,VBA5,,DMA3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL026W,HSP104,,DMA3038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL025W,PAU17,,DMA3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR150C,TBS1,,DMA304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL024C,SSA2,,DMA3040,,1279,2,14.8,0.003,0.011,0.008,0.041,0.08,0.005,0.852,0,1205,2,24.3,0.037,0.129,0.044,0.757,0.033,1054,2,23.3,0.021,0.14,0.051,0.018,0.767,0.003,1138,2,19,0.012,0.109,0.036,0.029,0.81,0.004
YLL023C,POM33,,DMA3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL021W,SPA2,,DMA3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL020C,,,DMA3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL019C,KNS1,,DMA3044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL017W,,,DMA3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL016W,SDC25,,DMA3046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL015W,BPT1,,DMA3047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL014W,EMC6,,DMA3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR149W,ARA1,,DMA305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL045C,RPL8B,,DMA3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL044W,,,DMA3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL042C,ATG10,,DMA3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL041C,SDH2,,DMA3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL040C,VPS13,,DMA3055,,701,2,17.1,0.049,0.001,0.017,0.039,0.063,0.003,0.829,0,757,2,23.2,0.143,0.025,0.032,0.768,0.033,729,2,72.6,0.506,0.011,0.137,0.056,0.274,0.015,158,2,24.7,0.006,0.082,0,0.146,0.753,0.013
YLL039C,UBI4,,DMA3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL038C,ENT4,,DMA3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL032C,,,DMA3058,,2173,2,10.8,0.003,0.019,0.007,0.056,0.021,0.002,0.892,0,1142,2,16.1,0.018,0.132,0.006,0.839,0.005,904,2,25.6,0.032,0.132,0.076,0.014,0.744,0.001,1626,2,17.8,0.003,0.038,0.088,0.046,0.822,0.003
YLL029W,FRA1,,DMA3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR148W,YSW1,,DMA306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL028W,TPO1,,DMA3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR147W,RTC2,,DMA307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR146W,MRPS9,,DMA308,,769,2,11.6,0.007,0.005,0.029,0.048,0.027,0,0.884,0,923,2,29.1,0.091,0.129,0.039,0.709,0.033,1082,2,38.4,0.024,0.109,0.225,0.018,0.616,0.007,707,2,16.7,0.004,0.047,0.044,0.068,0.833,0.004
YLL057C,JLP1,,DMA3085,,2252,2,6,0.007,0.017,0.002,0.013,0.02,0,0.94,0,953,2,27.7,0.068,0.112,0.063,0.723,0.034,1139,2,22,0.028,0.103,0.065,0.014,0.78,0.011,700,2,15.4,0.006,0.02,0.064,0.063,0.846,0.001
YLL056C,,,DMA3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL055W,YCT1,,DMA3087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL054C,,,DMA3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL053C,,,DMA3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR145W,ADH5,,DMA309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL052C,AQY2,,DMA3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL051C,FRE6,,DMA3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL049W,LDB18,,DMA3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL048C,YBT1,,DMA3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL047W,,,DMA3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL046C,RNP1,,DMA3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR011W,LOT6,,DMA3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR006C,SSK1,,DMA3098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR004C,THI73,,DMA3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL023C,PMT2,,DMA31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR144C,,,DMA310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR003C,CMS1,,DMA3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR001C,,,DMA3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL063C,AYT1,,DMA3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL062C,MHT1,,DMA3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL061W,MMP1,,DMA3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL060C,GTT2,,DMA3105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL059C,,,DMA3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL058W,,,DMA3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR023C,IZH3,,DMA3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR141C,BMT2,,DMA311,,2357,2,6.7,0.005,0.016,0.012,0.024,0.009,0.001,0.933,0,966,2,21.1,0.062,0.095,0.022,0.789,0.032,878,2,27.2,0.032,0.091,0.12,0.022,0.728,0.008,1094,2,13.6,0.008,0.048,0.046,0.03,0.864,0.004
YLR021W,IRC25,,DMA3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR020C,YEH2,,DMA3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR019W,PSR2,,DMA3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR018C,POM34,,DMA3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR017W,MEU1,,DMA3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR016C,PML1,,DMA3115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR015W,BRE2,,DMA3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR014C,PPR1,,DMA3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR013W,GAT3,,DMA3118,,1295,2,10.8,0.009,0.01,0.006,0.032,0.049,0.002,0.892,0,,,,,,,,,875,2,24.6,0.019,0.138,0.062,0.023,0.754,0.003,1480,2,17.4,0.009,0.047,0.061,0.052,0.826,0.005
YLR012C,,,DMA3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR139W,,,DMA312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR039C,RIC1,,DMA3121,,481,2,71.9,0,0.062,0.002,0.551,0.104,0,0.281,0,42,1,92.9,0.024,0.833,0.071,0.071,0,290,2,37.9,0.052,0.041,0.269,0.007,0.621,0.01,347,2,67.7,0.066,0.029,0.127,0.447,0.323,0.009
YLR038C,COX12,,DMA3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR037C,PAU23,,DMA3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR036C,,,DMA3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR035C,MLH2,,DMA3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR034C,SMF3,,DMA3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR032W,RAD5,,DMA3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR031W,,,DMA3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR030W,,,DMA3129,,1300,2,6.2,0.008,0.015,0.002,0.021,0.015,0.001,0.938,0,240,1,20.4,0.033,0.138,0.017,0.796,0.017,922,2,23.5,0.044,0.087,0.074,0.022,0.765,0.009,1706,2,15.2,0.007,0.036,0.059,0.046,0.848,0.004
YLR028C,ADE16,,DMA3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR024C,UBR2,,DMA3131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
